/scratch/gi/studprj/metaclassify/data_sets//PhymmBL/res/scientific_names.txt

Rhodobacter sphaeroides
Rhodococcus jostii
Rhodoferax ferrireducens
Rhodopirellula baltica
Rhodopseudomonas palustris
Rhodospirillum centenum
Rhodospirillum rubrum
Rickettsia akari
Rickettsia bellii
Rickettsia canadensis
Rickettsia conorii
Rickettsia felis
Rickettsia massiliae
Rickettsia prowazekii
Rickettsia rickettsii
Rickettsia typhi
Roseiflexus castenholzii
Roseiflexus sp.
Roseobacter denitrificans
Rubrobacter xylanophilus
Ruegeria pomeroyi
Ruegeria sp.
Saccharophagus degradans
Saccharopolyspora erythraea
Salinibacter ruber
Salinispora arenicola
Salinispora tropica
Salmonella enterica
Serratia proteamaculans
Shewanella amazonensis
Shewanella baltica
Shewanella denitrificans
Shewanella frigidimarina
Shewanella halifaxensis
Shewanella loihica
Shewanella oneidensis
Shewanella pealeana
Shewanella putrefaciens
Shewanella sediminis
Shewanella sp.
Shewanella woodyi
Shigella boydii
Shigella dysenteriae
Shigella flexneri
Shigella sonnei
Sinorhizobium medicae
Sinorhizobium meliloti
Sodalis glossinidius
Sorangium cellulosum
Sphingomonas wittichii
Sphingopyxis alaskensis
Staphylococcus aureus
Staphylococcus epidermidis
Staphylococcus haemolyticus
Staphylococcus saprophyticus
Staphylothermus marinus
Stenotrophomonas maltophilia
Streptococcus agalactiae
Streptococcus equi
Streptococcus gordonii
Streptococcus mutans
Streptococcus pneumoniae
Streptococcus pyogenes
Streptococcus sanguinis
Streptococcus suis
Streptococcus thermophilus
Streptomyces avermitilis
Streptomyces coelicolor
Streptomyces griseus
Sulfolobus acidocaldarius
Sulfolobus solfataricus
Sulfolobus tokodaii
Sulfurihydrogenibium sp.
Sulfurimonas denitrificans
Sulfurovum sp.
Symbiobacterium thermophilum
Synechococcus elongatus
Synechococcus sp.
Synechocystis sp.
Syntrophobacter fumaroxidans
Syntrophomonas wolfei
Syntrophus aciditrophicus
Thermoanaerobacter pseudethanolicus
