NC_010814	Burkholderia_phymatum_STM815
NC_009749	Klebsiella_pneumoniae_342
NC_002505	Legionella_pneumophila_str._Lens
NC_006360	Prochlorococcus_marinus_str._MIT_9312
NC_010801	Burkholderia_multivorans_ATCC_17616
NC_010673	Haloarcula_marismortui_ATCC_43049
NC_010509	Mycoplasma_arthritidis_158L3_1
NC_007434	Burkholderia_pseudomallei_1710b
NC_007644	Onion_yellows_phytoplasma_OY_M
NC_006824	Candidatus_Blochmannia_pennsylvanicus_str._BPEN
NC_011081	Shigella_boydii_Sb227
NC_011146	Methylobacterium_populi_BJ001
AC_000091	Vibrio_cholerae_O1_biovar_El_Tor_str._N16961
NC_010725	Thermoplasma_volcanium_GSS1
NC_008392	Lactobacillus_salivarius_UCC118
NC_008510	Pseudomonas_putida_W619
NC_001855	Chlamydia_muridarum_Nigg
NC_009377	Thermus_thermophilus_HB27
NC_009566	Lactobacillus_delbrueckii_subsp._bulgaricus_ATCC_11842
NC_010184	Candidatus_Korarchaeum_cryptofilum_OPF8
NC_009633	Arthrobacter_sp._FB24
NC_010996	Rhodobacter_sphaeroides_ATCC_17025
NC_007520	Bordetella_parapertussis_12822
NC_009074	Burkholderia_pseudomallei_668
NC_005966	Aliivibrio_salmonicida_LFI1238
NC_008122	Xanthomonas_campestris_pv._campestris_str._ATCC_33913
NC_009714	Thiomicrospira_crunogena_XCL_2
NC_011147	Shigella_flexneri_5_str._8401
NC_002758	Streptococcus_pneumoniae_G54
NC_009943	Methylobacterium_sp._4_46
NC_007794	Mycoplasma_mobile_163K
NC_009667	Burkholderia_xenovorans_LB400
NC_002951	Streptococcus_agalactiae_2603V_R
NC_009523	Synechococcus_sp._CC9311
NC_008530	Bacillus_pumilus_SAFR_032
NC_011001	Burkholderia_cenocepacia_J2315
NC_009786	Escherichia_coli_E24377A
NC_009332	Yersinia_pestis_Angola
NC_006834	Vibrio_vulnificus_CMCP6
NC_010473	Francisella_tularensis_subsp._holarctica_FTNF002_00
NC_008760	Methylibium_petroleiphilum_PM1
NC_009933	Agrobacterium_tumefaciens_str._C58
NC_006392	Synechococcus_sp._WH_8102
NC_010740	Brucella_abortus_S19
NC_003912	Campylobacter_jejuni_RM1221
NC_003366	Clostridium_perfringens_str._13
NC_009425	Burkholderia_ambifaria_AMMD
NC_011281	Leptospira_biflexa_serovar_Patoc_strain__Patoc_1__Ames__
NC_007765	Rhodobacter_sphaeroides_2.4.1
NC_006856	Shewanella_baltica_OS155
NC_010070	Burkholderia_multivorans_ATCC_17616
NC_007146	Lactobacillus_casei_ATCC_334
NC_008242	Saccharophagus_degradans_2_40
NC_007606	Magnetococcus_sp._MC_1
NC_009831	Methanococcoides_burtonii_DSM_6242
NC_005070	Listeria_welshimeri_serovar_6b_str._SLCC5334
NC_010382	Streptococcus_mutans_UA159
NC_008511	Mycobacterium_tuberculosis_CDC1551
NC_005071	Pseudomonas_syringae_pv._tomato_str._DC3000
NC_005213	Photorhabdus_luminescens_subsp._laumondii_TTO1
NC_011186	Acidiphilium_cryptum_JF_5
NC_002491	Chlamydophila_pneumoniae_J138
NC_004567	Shigella_sonnei_Ss046
NC_006512	Shigella_dysenteriae_Sd197
NC_004557	Methylococcus_capsulatus_str._Bath
NC_006348	Burkholderia_mallei_ATCC_23344
NC_009009	Pyrobaculum_calidifontis_JCM_11548
NC_008593	Bacteroides_vulgatus_ATCC_8482
NC_007961	Mycobacterium_sp._MCS
NC_008698	Ochrobactrum_anthropi_ATCC_49188
NC_009617	Polaromonas_sp._JS666
NC_008508	Mycobacterium_tuberculosis_F11
NC_009494	Listeria_monocytogenes_serotype_4b_str._F2365
NC_007633	Candidatus_Protochlamydia_amoebophila_UWE25
NC_002677	Petrotoga_mobilis_SJ95
NC_008610	Sinorhizobium_medicae_WSM419
NC_008269	Nitrosospira_multiformis_ATCC_25196
NC_010553	Nostoc_punctiforme_PCC_73102
NC_007575	Ehrlichia_canis_str._Jake
NC_008739	Caldicellulosiruptor_saccharolyticus_DSM_8903
NC_009441	Hyphomonas_neptunium_ATCC_15444
NC_008818	Pediococcus_pentosaceus_ATCC_25745
NC_007796	Mycoplasma_pneumoniae_M129
NC_008268	Nitrosomonas_europaea_ATCC_19718
NC_003413	Rhodococcus_jostii_RHA1
NC_008816	Pseudomonas_syringae_pv._phaseolicola_1448A
NC_005363	Psychromonas_ingrahamii_37
NC_008342	Kineococcus_radiotolerans_SRS30216
NC_010117	Coxiella_burnetii_RSA_331
NC_008752	Aliivibrio_salmonicida_LFI1238
NC_007510	Hyperthermus_butylicus_DSM_5456
NC_011297	Salinispora_arenicola_CNS_205
NC_009349	Aquifex_aeolicus_VF5
NC_008701	Mesoplasma_florum_L1
NC_009973	Bartonella_tribocorum_CIP_105476
NC_010842	Mycobacterium_avium_subsp._paratuberculosis_K_10
NC_007713	Sulfolobus_tokodaii_str._7
NC_011205	Shigella_boydii_CDC_3083_94
NC_009767	Wolbachia_endosymbiont_strain_TRS_of_Brugia_malayi
NC_008609	Mesorhizobium_loti_MAFF303099
NC_007410	Arthrobacter_aurescens_TC1
NC_008835	Burkholderia_mallei_NCTC_10229
NC_007204	Rhodoferax_ferrireducens_T118
NC_007385	Ignicoccus_hospitalis_KIN4_I
NC_010334	Leuconostoc_citreum_KM20
NC_003902	Vibrio_fischeri_ES114
NC_006363	Clostridium_tetani_E88
NC_011333	Lactococcus_lactis_subsp._cremoris_MG1363
NC_011350	Haemophilus_somnus_129PT
NC_009230	Sulfurovum_sp._NBC37_1
NC_000915	Lactococcus_lactis_subsp._lactis_Il1403
NC_006462	Acinetobacter_baumannii_ATCC_17978
NC_010611	Candidatus_Koribacter_versatilis_Ellin345
NC_008345	Mesorhizobium_loti_MAFF303099
NC_010939	Actinobacillus_pleuropneumoniae_serovar_7_str._AP76
NC_004116	Streptococcus_pyogenes_SSI_1
NC_005791	Neisseria_meningitidis_Z2491
NC_008783	Streptococcus_sanguinis_SK36
NC_008043	Helicobacter_acinonychis_str._Sheeba
NC_010555	Chlorobium_limicola_DSM_245
NC_009511	Brucella_ovis_ATCC_25840
NC_006677	Bartonella_quintana_str._Toulouse
NC_010697	Borrelia_recurrentis_A1
NC_007576	Ruegeria_pomeroyi_DSS_3
NC_009337	Cytophaga_hutchinsonii_ATCC_33406
NC_009229	Bradyrhizobium_sp._BTAi1
NC_010067	Shewanella_baltica_OS195
NC_008769	Porphyromonas_gingivalis_ATCC_33277
NC_009727	Coxiella_burnetii_Dugway_5J108_111
NC_009507	Mycoplasma_agalactiae_PG2
NC_009925	Acinetobacter_sp._ADP1
NC_004671	Geobacter_metallireducens_GS_15
NC_008825	Salinispora_tropica_CNB_440
NC_008598	Bacillus_thuringiensis_str._Al_Hakam
NC_007950	Lawsonia_intracellularis_PHE_MN1_00
NC_007298	Thermoanaerobacter_sp._X514
NC_004547	Geobacter_sulfurreducens_PCA
NC_009466	Metallosphaera_sedula_DSM_5348
NC_008009	Alteromonas_macleodii_str.__Deep_ecotype_
NC_008384	Rickettsia_bellii_OSU_85_389
NC_007722	Sulfolobus_acidocaldarius_DSM_639
NC_005707	Bacillus_cereus_ATCC_10987
NC_003134	Streptococcus_pyogenes_str._Manfredo
NC_009076	Burkholderia_pseudomallei_1106a
NC_010529	Beijerinckia_indica_subsp._indica_ATCC_9039
NC_008687	Synechococcus_sp._WH_7803
NC_006449	Yersinia_pestis_KIM_10
NC_009446	Mycobacterium_sp._JLS
NC_007705	Vibrio_vulnificus_YJ016
NC_007607	Lysinibacillus_sphaericus_C3_41
NC_004368	Streptococcus_suis_98HAH33
